Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
ВерсФорм			А	T	1	5	О				4.20	Версия формата
НаимПрог			А	T	1	40	О				&НаимПрог	Наименование передающей программы
ФормаОтч			С				О					Описание формы отчетности
НомФорм			А	T	4	4	О				12-о	Номер формы
ПризПериодОтч			А	T	1	1	О				&ПризПериодОтч	Отчетный период за квартал
ПризФОтч			А	T	1	1	О				&ПризФОтч	Признак формы отчетности:1 - для вид деятельности производство, хранение и поставки произведенногоэтилового спирта питьевого (относится к алкогольной продукции, для районовКрайнего Севера);2 - для вида деятельности производство, хранение и поставки произведенныхспиртных напитков;3 - для производства, хранения и поставки произведенных вин;4 - для другого вида деятельности.
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
Первичная			П				О			&Первичная		Первичная форма отчетности
Корректирующая			С				О			&Корректирующая		Первичная форма отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
Справочники			С				О					Справочная информация
ПроизводителиИмпортеры			С				НМ					Справочник производителей/импортеров
ИДПроизвИмп			А	N		10	О					Уникальный идентификатор
П000000000004			А	T	3	1000	О					Наименование производителя/импортёра
ЮЛ			С				О					Производитель/импортер - организация
П000000000005			А	T	10	10	О					ИНН ЮЛ
П000000000006			А	T	9	9	О					КПП
ФЛ			С				О					Производитель/импортер - физическое лицо
П000000000005			А	T	1	20	О					ИНН ФЛ/Учетный номер плательщика/Регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный
Поставщики			С				НМ					Справочник поставщиков
ИдПостав			А	N		10	О					Уникальный идентификатор
П000000000007			А	T	3	1000	О					Наименование оргнанизации/ФИО для физ лица
ЮЛ			С				О					Поставщик - организация
П000000000009			А	T	10	10	О					ИНН ЮЛ
П000000000010			А	T	9	9	О					КПП
ФЛ			С				О					Поставщик - физическое лицо
П000000000009			А	T	1	20	О					ИНН ФЛ/Учетный номер плательщика/Регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный
Документ			С				О					Общие сведения информационной части
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
НаимОрг			А	T		1000	О				&НаимЮЛ	Полное наименование организации/ физического лица
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный телефон
EmailОтпр			А	T		45	О				&EmailОтпр	E-mail
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О				&КодСтраны	Код страны
Индекс			П	T	0	10	Н				&Индекс	Индекс
КодРегион			П	T	2	2	О				&КодРегион	Код Региона
Район			П	T	0	50	Н				&Район	Район
Город			П	T	0	50	Н				&Город	Город
НаселПункт			П	T	0	50	Н				&НаселПункт	Населенный пункт
Улица			П	T	0	50	Н				&Улица	Улица
Дом			П	T	0	20	Н				&Дом	Дом
Корпус			П	T	0	20	Н				&Корпус	Корпус
Литера			П	T	0	50	Н				&Литера	Литера
Кварт			П	T	0	20	Н				&Кварт	Квартира
ЮЛ			С				Н					Организация ЮЛ
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН ЮЛ
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП
ФЛ			С				Н					Организация - физическое лицо
ИННФЛ			А	T	12	12	О				&ИННФЛ	ИНН ФЛ
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				О					Сведения о руководителе
Фамилия			П	T			О				&РуководительФамилия	Фамилия
Имя			П	T			О				&РуководительИмя	Имя
Отчество			П	T			Н				&РуководительОтчество	Отчество
Главбух			С				О					Сведения о главном бухгалтере
Фамилия			П	T			О				&ГлавбухФамилия	Фамилия
Имя			П	T			О				&ГлавбухИмя	Имя
Отчество			П	T			Н				&ГлавбухОтчество	Отчество
ОбъемОборота			С				ОМ					Cведения об объемах розничной продажи пива и пивных напитков
НаимЮЛ			А	T		1000	О					Наименование огранизации/филиала
КППЮЛ			А	T	9	9	Н					КПП организации
НаличиеОборота			А	Т			О					Признак, указывающий что по организации/ филиалу был оборот
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	20	Н					Дом
Корпус			П	T	0	20	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	20	Н					Квартира
Оборот			С				НМ					Розничный оборот пива и пивных напитков
ПN			А	N		10	О					Номер по порядку
П000000000003			А	T	3	3	О					Код вида продукции
СведПроизвИмпорт			С				ОМ					Сведения по каждому производителю/импортеру
ПN			А	N		10	О					Номер по порядку
ИдПроизвИмп			А	N		10	О					Идентификатор элемента справочника "ПроизводителиИмпортеры"
Поставщик			С				НМ					Сведения по каждому поставщику
ПN			А	N		10	О					Номер по порядку
ИдПоставщика			А	N		10	О					Идентификатор элемента справочника "Поставщики"
Продукция			С				ОМ					
П200000000013			А	T	10	10	О					Дата закупки
П200000000014			А	T		50	О					Номер товарно-транспортной наладной
П200000000015			А	T		50	О					Номер таможенной декларации
П200000000016			А	N	5	15	О					Объем закупленной продукции
