Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
ВерсФорм			А	T	1	5	О				4.31	Версия формата
НаимПрог			А	T	1	40	О				&НаимПрог	Наименование передающей программы
Справочники			С				О					Справочная информация
ПроизводителиИмпортеры			С				НМ					Справочник производителей и импортеров
ИдПроизвИмп			А	N		10	О					Уникальный идентификатор
П000000000004			А	T	3	1000	О					Наименование производителя/ импортера
П000000000005			А	T	1	20	О					ИНН производителя/импортера/Учетный номер плательщика/Регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный идентификационный номер
П000000000006			А	T	9	9	Н					КПП производителя/импортера
Поставщики			С				ОМ					Сведения об поставщике
ИдПостав			А	N		10	О					Ид поставщика
П000000000007			А	T	3	1000	О					Наименование поставщика / ФИО для физ лиц
Резидент			С				О					Кода страны 643
Лицензии			С				НМ					
Лицензия			С				О					
ИдЛицензии			А	N		10	О					Ид лицензии
П000000000011			А	T		100	О					Серия лицензии, номер
П000000000012			А	T	10	10	О					Дата выдачи
П000000000013			А	T	10	10	О					Дата окончания
П000000000014			А	T	3	1000	О					Кем выдана
П000000000008			С				О					Адрес поставщика
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	50	Н					Дом
Корпус			П	T	0	50	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	50	Н					Квартира
ЮЛ			С				О					Поставщик - организация
П000000000009			А	T	10	10	О					ИНН ЮЛ
П000000000010			А	T	9	9	О					КПП
ФЛ			С				О					Поставщик - физическое лицо
П000000000009			А	T	12	12	О					ИНН ФЛ
Иностр			С				О					Кода страны не равен 643
П000000000081			А	T	3	3	О					Код страны
П000000000082			А	T	1	1000	О					Адрес поставщика
Номер			А	T	1	100	Н					Учетный номер плательщика, регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный идентификационный номер
ФормаОтч			С				О					Описание формы отчетности
НомФорм			А	T	2	2	О				07	Номер формы
ПризПериодОтч			А	T	1	1	О				&ПризПериодОтч	Отчетный период за квартал
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
Первичная			П				О			&Первичная		Первичная форма отчетности
Корректирующая			С				О			&Корректирующая		Первичная форма отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
Документ			С				О					Общие сведения информационной части
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
Наим			А	T		1000	О				&НаимЮЛ	Полное наименование организации
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный телефон
EmailОтпр			А	T		45	О				&EmailОтпр	E-mail
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О				&КодСтраны	Код страны
Индекс			П	T	0	10	Н				&Индекс	Индекс
КодРегион			П	T	2	2	О				&КодРегион	Код Региона
Район			П	T	0	50	Н				&Район	Район
Город			П	T	0	50	Н				&Город	Город
НаселПункт			П	T	0	50	Н				&НаселПункт	Населенный пункт
Улица			П	T	0	50	Н				&Улица	Улица
Дом			П	T	0	50	Н				&Дом	Дом
Корпус			П	T	0	50	Н				&Корпус	Корпус
Литера			П	T	0	50	Н				&Литера	Литера
