Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования    документа
ВерсФорм			А	T	1	5	О				4.30	Версия формата
НаимПрог			А	T	1	40	О				&НаимПрог	Наименование передающей программы
ФормаОтч			С				О					Описание формы отчетности
НомФорм			А	T	2	2	О				08	Номер формы
ПризПериодОтч			А	T	1	1	О				&ПризПериодОтч	Отчетный период за квартал
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
Первичная			П				О			&Первичная		Первичная форма отчетности
Корректирующая			С				О			&Корректирующая		Первичная форма отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
Справочники			С				О					Справочная информация
Перевозчики			С				НМ					Справочник перевозчиков
ИдПеревозчика			А	N		10	О					Уникальный идентификатор
ПеревозчикФизЛицо			С				О					Перевозчик является физическим лицом
ФИО			С				О					ФИО перевозчика
Фамилия			А	T	0	60	О					Фамилия
Имя			А	T	0	60	О					Имя
Отчество			А	T	0	60	О					Отчество
Адрес			С				О					Адрес перевозчика
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	50	Н					Дом
Корпус			П	T	0	50	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	50	Н					Квартира
ПеревозчикЮрЛицо			С				О					Перевозчик является юридическим лицом
П000000000003			А	T	3	1000	О					Наименование перевозчика
П000000000004			А	T	10	10	О					ИНН перевозчика
П000000000005			А	T	9	9	О					КПП перевозчика
Лицензии			С				НМ					Справочник лицензий перевозчика
Лицензия			С				О					
ИдЛицензии			А	N		10	О					Уникальный идентификатор
П000000000008			А	T		50	О					Серия лицензии
П000000000009			А	T	10	10	О					Дата выдачи
П000000000010			А	T	10	10	О					Дата окончания
П000000000011			А	T		100	О					Орган выдачи
ТранспортныеСредства			С				НМ					Справочник транспортных средств
ИдТС			А	N		10	О					Уникальный идентификатор
П000000000012			А	T		1000	О					Тип транспортного средства
П000000000013			А	N			О					Грузоподъемность транспортного средства в тоннах
П000000000014			А	T		100	О					Регистрационный номер транспортного средства
Получатели			С				НМ					Справочник получателей
ИдПолучателя			А	N		10	О					Уникальный идентификатор
П000000000019			А	T	3	1000	О					Наименование получателя
ОрганизацияРФ			С				Н					Получатель является Российской организацией
П000000000020			А	T	10	12	О					ИНН получателя
П000000000021			А	T	9	9	Н					КПП получателя
Документ			С				О					Общие сведения информационной части
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
НаимОрг			А	T		1000	О				&НаимЮЛ	Полное наименование организации/ физического лица
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный      телефон
EmailОтпр			А	T		45	О				&EmailОтпр	E-mail
АдрОрг			С				О					Местонахождение организации     (обособленного  подразделения)
КодСтраны			П	T	3	3	О				&КодСтраны	Код страны
Индекс			П	T	0	10	Н				&Индекс	Индекс
КодРегион			П	T	2	2	О				&КодРегион	Код Региона
Район			П	T	0	50	Н				&Район	Район
Город			П	T	0	50	Н				&Город	Город
НаселПункт			П	T	0	50	Н				&НаселПункт	Населенный пункт
Улица			П	T	0	50	Н				&Улица	Улица
Дом			П	T	0	50	Н				&Дом	Дом
Корпус			П	T	0	50	Н				&Корпус	Корпус
Литера			П	T	0	50	Н				&Литера	Литера
Кварт			П	T	0	50	Н				&Кварт	Квартира
ЮЛ			С				О			&ЭтоЮЛ		Организация ЮЛ
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН ЮЛ
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП
ФЛ			С				О			&ЭтоФЛ		Организация - физическое лицо
ИННФЛ			А	T	12	12	О				&ИННФЛ	ИНН ФЛ
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				О					Сведения о руководителе
