Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ИдФайл			А	T	1	100	О				&ИдФайл	Идентификатор файла
ТипИнф			А	T	7	7	О				1152023	Тип информации
ВерсФорм			А	T	1	5	О				4.01	Версия формата
ВерсПрог			А	T	1	40	Н				&ВерсПрог	Версия передающей программы
КолДок			А	N		3	О				1	Количество документов
ИдОтпр			С				О					Сведения об отправителе
НаимОтпрЮЛ			А	T		1000	О				&НаимОтпрЮЛ	Полное наименование отправителя - юридического лица (Росалкогольрегулирования)
ТелОтпр			А	T	0	20	О				&ТелОтпр	Номер контактного телефона
EmailОтпр			А	T		45	Н					E-mail
ДолжнОтпр			А	T		45	Н				&ДолжнОтпр	Должность ответственного лица отправителя
ФИООтпр			С				Н					Фамилия, имя, отчество отправителя
Фамилия			А	T		60	О				&ФамилияОтпр	Фамилия
Имя			А	T		60	О				&ИмяОтпр	Имя
Отчество			А	T		60	Н				&ОтчествоОтпр	Отчество
Документ			С				О					Общие сведения информационной части
ДатаДок			А	T	10	10	О				&ДатаФормирДок	Дата формирования документа
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
НаимЮЛПол			А	T		1000	О				&НаимЮЛПол	Полное наименование организации
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН организации
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП организации
ОГРН			А	T	13	13	О				&ОГРН	Основной государственный регистрационный номер (ОГРН)
ОКАТО			А	T	11	11	О				&ОКАТО	ОКАТО
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный телефон
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О				&КодСтраныОрг	Код страны
Индекс			П	T	0	10	Н				&ИндексОрг	Индекс
КодРегион			П	T	2	2	О				&КодРегионОрг	Код Региона
Район			П	T	0	50	Н				&РайонОрг	Район
Город			П	T	0	50	Н				&ГородОрг	Город
НаселПункт			П	T	0	50	Н				&НаселПунктОрг	Населенный пункт
Улица			П	T	0	50	Н				&УлицаОрг	Улица
Дом			П	T	0	20	Н				&ДомОрг	Дом
Корпус			П	T	0	20	Н				&КорпусОрг	Корпус
Кварт			П	T	0	20	Н				&КвартОрг	Квартира
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				Н					Сведения о руководителе
ФИО			С				О					Фамилия, имя, отчество ответственного лица
Фамилия		Фамилия	А	T		60	О					Фамилия
Имя		Имя	А	T		60	О					Имя
Отчество		Отчество	А	T		60	Н					Отчество
ИННФЛ			С				О					Присутствуют данные об ИНН
ИНН		ИНН	А	T	12	12	О					ИНН ответственного лица
СведФЛ			С				О					Отсутствуют данные об ИНН
ТелСлуж		ТелСлуж	А	T	0	20	О					Номер контактного телефона ответственного лица (служебный)
АдрМЖРез		АдрМЖРез	А	T		128	Н					Место жительства ответственного лица в стране, резидентом которой является декларант
УдЛичн			С				О					Данные удостоверения личности ответственного лица
КодВидДок		КодВидДок	А	T	2	2	О					Код вида документа, удостоверяющего личность
