Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
ВерсФорм			А	T	1	5	О				4.31	Версия формата
НаимПрог			А	T	1	40	О				&НаимПрог	Наименование передающей программы
ФормаОтч			С				О					Описание формы отчетности
НомФорм			А	T	2	2	О				05	Номер формы
ПризПериодОтч			А	T	1	1	О				&ПризПериодОтч	Отчетный период за квартал
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
Первичная			П				О			&Первичная		Первичная форма отчетности
Корректирующая			С				О			&Корректирующая		Первичная форма отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
Документ			С				О					Общие сведения информационной части
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
Наим			А	T		1000	О				&НаимЮЛ	Полное наименование организации
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный телефон
EmailОтпр			А	T		45	О				&EmailОтпр	E-mail
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О				&КодСтраны	Код страны
Индекс			П	T	0	10	Н				&Индекс	Индекс
КодРегион			П	T	2	2	О				&КодРегион	Код Региона
Район			П	T	0	50	Н				&Район	Район
Город			П	T	0	50	Н				&Город	Город
НаселПункт			П	T	0	50	Н				&НаселПункт	Населенный пункт
Улица			П	T	0	50	Н				&Улица	Улица
Дом			П	T	0	20	Н				&Дом	Дом
Корпус			П	T	0	20	Н				&Корпус	Корпус
Литера			П	T	0	50	Н				&Литера	Литера
Кварт			П	T	0	20	Н				&Кварт	Квартира
ЮЛ			С				Н					Организация ЮЛ
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН ЮЛ
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП
ФЛ			С				Н					Организация - физическое лицо
ИННФЛ			А	T	12	12	О				&ИННФЛ	ИНН ФЛ
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				О					Сведения о руководителе
Фамилия			П	T			О				&РуководительФамилия	Фамилия
Имя			П	T			О				&РуководительИмя	Имя
Отчество			П	T			Н				&РуководительОтчество	Отчество
Главбух			С				О					Сведения о главном бухгалтере
Фамилия			П	T			О				&ГлавбухФамилия	Фамилия
Имя			П	T			О				&ГлавбухИмя	Имя
Отчество			П	T			Н				&ГлавбухОтчество	Отчество
Деятельность			С				О					Сведения о деятельности
Лицензируемая			С				О					Список лицензий организаций
Лицензия			С				ОМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерНомЛиц			А	T		50	О					Серия и номер лицензии
ДатаНачЛиц			А	T	10	10	О					Дата получения
ДатаОконЛиц			А	T	10	10	О					Срок действия лицензии
Нелицензируемая												
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
ОбъемОборота			С				ОМ					Cведения об объемах оборота этилового спирта, алкогольной и спиртосодержащей продукции
Наим			А	T		1000	О					Наименование огранизации/филиала
КППЮЛ			А	T	9	9	Н					КПП организации
НаличиеОборота			А	Т			О					Признак, указывающий что по организации/ филиалу был оборот продуции
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	20	Н					Дом
Корпус			П	T	0	20	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	20	Н					Квартира
Оборот			С				НМ					Оборот этилового спирта, алкогольной и спиртосодержащей продукции
ПN			А	N		10	О					Номер по порядку
П000000000003			А	T	3	3	О					Код вида продукции
СведПроизвИмпорт			С				ОМ					Сведения по каждому производителю/импортеру
ПN			А	N		10	О					Номер по порядку
П000000000004			А	T	3	1000	О					Наименование производителя/ импортера
П000000000005			А	T	5	20	О					ИНН производителя/ импортера
П000000000006			А	T	9	9	Н					КПП производителя/ импортера
П000000000007			А	N	5	15	О					Остаток на начало отчетного периода (дал)
П000000000008			А	N	5	15	О					Поступление (закупки) от организаций- производителей (дал)
П000000000009			А	N	5	15	О					Поступление (закупки) от организаций оптовой торговли (дал)
П000000000010			А	N	5	15	О					Поступление (закупки) по импорту (дал)
П000000000011			А	N	5	15	О					Поступление (закупки) итого (дал)
П000000000012			А	N	5	15	О					Поступление (возврат продукции) (дал)
П000000000013			А	N	5	15	О					Прочие поступления (дал)
П000000000014			А	N	5	15	О					Поступление (перемещение внутри одной организации) (дал)
П000000000015			А	N	5	15	О					Поступление всего (дал)
П000000000016			А	N	5	15	О					Расход (поставки) организациям оптовой торговли (дал)
П000000000017			А	N	5	15	О					Расход (поставки) организациям розничной торговли (дал)
П000000000018			А	N	5	15	О					Расход (поставки) на экспорт (дал)
П000000000019			А	N	5	15	О					Расход (поставки) итого (дал)
П000000000020			А	N	5	15	О					Прочий расход (дал)
П000000000021			А	N	5	15	О					Возврат поставщикам (дал)
П000000000022			А	N	5	15	О					Расход (перемещение внутри одной организации) (дал)
П000000000023			А	N	5	15	О					Расход всего (дал)
П000000000024			А	N	5	15	О					Остаток на конец отчетного периода (дал)
П000000000025			А	N	5	15	О					В том числе остаток продукции, маркированной федеральными специальными и (или) акцизными марками, требования к которым утрачивают силу
