Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
ВерсФорм			А	T	1	5	О				4.20	Версия формата
НаимПрог			А	T	1	40	О				&НаимПрог	Наименование передающей программы
Справочники			С				О					
Контрагенты			С				ОМ					Сведения об контрагенте
ИдКонтр			А	N		10	О					Ид контрагента
П000000000007			А	T	3	1000	О					Наименование контрагента / ФИО для физ лиц
Резидент			С				О					Кода страны 643
Лицензии			С				НМ					
Лицензия			С				О					
ИдЛицензии			А	N		10	О					Ид лицензии
П000000000011			А	T		100	О					Серия лицензии, номер
П000000000012			А	T	10	10	О					Дата выдачи
П000000000013			А	T	10	10	О					Дата окончания
П000000000014			А	T	3	1000	О					Кем выдана
П000000000008			С				О					Адрес контрагента
КодСтраны			П	T	3	3	О					Код страны
Индекс			П	T	0	10	Н					Индекс
КодРегион			П	T	2	2	О					Код Региона
Район			П	T	0	50	Н					Район
Город			П	T	0	50	Н					Город
НаселПункт			П	T	0	50	Н					Населенный пункт
Улица			П	T	0	50	Н					Улица
Дом			П	T	0	20	Н					Дом
Корпус			П	T	0	20	Н					Корпус
Литера			П	T	0	50	Н					Литера
Кварт			П	T	0	20	Н					Квартира
ЮЛ			С				О					Контрагент - организация
П000000000009			А	T	10	10	О					ИНН ЮЛ
П000000000010			А	T	9	9	О					КПП
ФЛ			С				О					Контрагент - физическое лицо
П000000000009			А	T	12	12	О					ИНН ФЛ
Иностр			С				О					Кода страны не равен 643
П000000000081			А	T	3	3	О					Код страны
П000000000082			А	T	1	1000	О					Адрес контрагента
Беларусь			С				Н					
УчНомер			А	T	1	100	О					Учетный номер плательщика
Казахстан			С				Н					
РегНомер			А	T	1	100	О					Регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный идентификационный номер
ПроизводителиИмпортеры			С				НМ					Справочник производителей и импортеров
ИдПроизвИмп			А	N		10	О					Уникальный идентификатор
П000000000004			А	T	3	1000	О					Наименование производителя/ импортера
П000000000005			А	T	1	20	О					ИНН производителя/импортера/Учетный номер плательщика/Регистрационный номер налогоплательщика, либо бизнес-идентификационный номер, либо индивидуальный идентификационный номер
П000000000006			А	T	9	9	Н					КПП производителя/импортера
ФормаОтч			С				О					Описание формы отчетности
НомФорм			А	T	3	3	О				6-о	Номер формы
ПризПериодОтч			А	T	1	1	О				&ПризПериодОтч	Отчетный период за квартал
ПризФОтч			А	T	1	1	О				&ПризФОтч	Признак формы отчетности:1 - для вид деятельности производство, хранение и поставки произведенногоэтилового спирта питьевого (относится к алкогольной продукции, для районовКрайнего Севера);2 - для вида деятельности производство, хранение и поставки произведенныхспиртных напитков;3 - для производства, хранения и поставки произведенных вин;4 - для другого вида деятельности.
ГодПериодОтч			А	T	4	4	О				&ГодПериодОтч	Отчетный год
Первичная			П				О			&Первичная		Первичная форма отчетности
Корректирующая			С				О			&Корректирующая		Первичная форма отчетности
НомерКорр			А	N		3	О				&НомерКорр	Номер корректировки
Документ			С				О					Общие сведения информационной части
Организация			С				О					Сведения об организации
Реквизиты			С				О					Сведения о реквизитах организации
НаимЮЛ			А	T		1000	О				&НаимЮЛ	Полное наименование организации
ИННЮЛ			А	T	10	10	О				&ИННЮЛ	ИНН организации
КППЮЛ			А	T	9	9	О				&КППЮЛ	КПП организации
ТелОрг			А	T	0	20	О				&ТелОрг	Контактный телефон
EmailОтпр			А	T		45	О				&EmailОтпр	E-mail
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О				&КодСтраны	Код страны
Индекс			П	T	0	10	Н				&Индекс	Индекс
КодРегион			П	T	2	2	О				&КодРегион	Код Региона
Район			П	T	0	50	Н				&Район	Район
Город			П	T	0	50	Н				&Город	Город
НаселПункт			П	T	0	50	Н				&НаселПункт	Населенный пункт
Улица			П	T	0	50	Н				&Улица	Улица
Дом			П	T	0	20	Н				&Дом	Дом
Корпус			П	T	0	20	Н				&Корпус	Корпус
Литера			П	T	0	50	Н				&Литера	Литера
Кварт			П	T	0	20	Н				&Кварт	Квартира
ОтветЛицо			С				О					Сведения об ответственных лицах организации
Руководитель			С				О					Сведения о руководителе
Фамилия			П	T			О				&РуководительФамилия	Фамилия
Имя			П	T			О				&РуководительИмя	Имя
Отчество			П	T			Н				&РуководительОтчество	Отчество
Главбух			С				О					Сведения о главном бухгалтере
Фамилия			П	T			О				&ГлавбухФамилия	Фамилия
Имя			П	T			О				&ГлавбухИмя	Имя
Отчество			П	T			Н				&ГлавбухОтчество	Отчество
Лицензии			С				О					Список лицензий организаций
Лицензия			С				НМ					Сведения о лицензиях
ВидДеят			А	T	2	2	О					Вид деятельностипо лицензии
СерЛиц			А	T		50	О					Серия лицензии
НомерЛиц			А	T		50	О					Номер лицензии
ДатаНачЛиц			А	T	10	10	О					Дата получения
ДатаОконЛиц			А	T	10	10	О					Срок действия лицензии
ОбъемОборота			С				ОМ					
НаимЮЛ			А	T		1000	О					Наименование огранизации/филиала
КППЮЛ			А	T	9	9	О					КПП организации
НаличиеПоставки			А	Т			О					Признак, указывающий что по организации/ филиалу была поставка
НаличиеВозврата			А	Т			О					Признак, указывающий что по организации/ филиалу был возврат
АдрОрг			С				О					Местонахождение организации (обособленного подразделения)
КодСтраны			П	T	3	3	О					Код страны
